Place	Bib	Name	Team	Time
1st	7	Alexey Vermeulen	Jukebox - ENVE	6h 34m 33.60s
2nd	206	Matthew Beers	Toyota-Specialized	6h 40m 40.19s
3rd	210	Griffin Easter	OpiCure Foundation p/b OrangeSeal Gravel Team	6h 40m 40.88s
4th	214	Alex Howes	EF Education - Easy Post	6h 40m 45.07s
5th	1	Peter Stetina	case of the nightly Waffle Sweats	6h 44m 38.09s
6th	1374	Eric Brunner	Blue Competition Cycles	6h 46m 37.32s
7th	263	Lance Haidet	L39ion of Los Angeles	6h 49m 14.49s
8th	202	John Borstelmann	Abus Pro Gravel	6h 57m 43.13s
9th	10	Freddy Ovett	L39ion of Los Angeles	6h 59m 02.22s
10th	3	Brennan Wertz	Above Category	7h 01m 04.19s
11th	30	Brian Scarbrough	Competitive metals	7h 08m 15.87s
12th	236	Ethan Villaneda	EF - Education First Nippo Development	7h 09m 46.74s
13th	283	Sam Morris	Above and Beyond Cancer p/b Bike World	7h 11m 12.20s
14th	323	Kerry Werner Jr.	Kona Adventure Team	7h 11m 58.15s
15th	51	Innokenty Zavyalov	Mazda Lauf Factory Racing	7h 13m 59.05s
16th	1373	Jeremiah Bishop	Canyon	7h 14m 19.50s
17th	63	Ian Lopez De San Roman	Sportful	7h 14m 20.30s
18th	212	Lars Hallstrom	3T / Q+M Cycling, Maxxis, ESI	7h 15m 06.25s
19th	47	Taylor Warren	CS Velo	7h 15m 44.77s
20th	942	Matt Fox		7h 15m 48.50s
21st	2	Sandy Floren	Mikes Bikes	7h 20m 32.74s
22nd	21	Robert Britton	Easton Overland x WIRTH it	7h 20m 33.04s
23rd	1462	Ryan Petry	Canyon, WTB	7h 23m 45.14s
24th	49	Brian McCulloch	Bianchi R/D Collective Monster Hydro Enve	7h 26m 40.63s
25th	8	Stefano Barberi	Kenda/FIZIK/Kask	7h 29m 09.19s
26th	324	Cole Williams		7h 30m 48.68s
27th	5	Dylan Johnson	Jukebox	7h 32m 00.83s
28th	1385	Bruno Suttles		7h 32m 40.80s
29th	270	Gavin Hlady	Next Wave Development	7h 34m 25.61s
30th	316	Justin Thomas	TCI Wealth Advisors pb TrainerRoad	7h 34m 52.58s
31st	32	Zack Allison	Bike Sports	7h 37m 02.28s
32nd	67	David Sweet	Alto Velo Racing Team	7h 37m 20.59s
33rd	307	Tim Savre	Project Echelon Racing	7h 44m 15.65s
34th	75	Brandon Mills		7h 44m 16.87s
35th	1034	Logan Kasper	Flow formulas the black bibs	7h 45m 05.68s
36th	230	Kiel Reijnen	Trek Bikes	7h 47m 46.70s
37th	289	Mark Myles	Be Real Sports	7h 47m 47.12s
38th	1386	Jonas Woodruff	Next Wave Development	7h 49m 44.72s
39th	319	Danny Van Wagoner	Johnson Elite Orthodontics	7h 50m 07.06s
40th	27	Chris Powell	Better Buzz	7h 51m 04.17s
41st	48	Cassius Anderson	Voler Factory Racing	7h 52m 05.29s
42nd	1440	Sean Kickbush	3T / Q+M	7h 54m 04.93s
43rd	958	John Garrison	English Endurance	7h 54m 28.10s
