Place	Bib	Name	First name	Last name	Team name	Category	Time	Difference	% Back	% Winning	% Average	% Median
1	398	Chris Twardzik	Chris	Twardzik	Premier Racing	Grande	4:05:09.1	-	-	100%	28.06%	26.87%
2	268	Stephen Mull	Stephen	Mull	Canyon | Velocio	Grande	4:05:09.4	+0:00.3	+0.00%	100.00%	28.05%	26.87%
3	256	Madison Molitor	Madison	Molitor	Fount Cycling Guild	Grande	4:05:09.9	+0:00.8	+0.01%	99.99%	28.05%	26.87%
4	354	Mark Severy	Mark	Severy	Premier Racing	Grande	4:08:22.1	+3:13.0	+1.31%	98.70%	27.11%	25.91%
5	327	Kenneth Rizer	Kenneth	Rizer	Premier Racing	Grande	4:10:11.1	+5:02.0	+2.05%	97.99%	26.58%	25.37%
6	397	Ian Tubbs	Ian	Tubbs	Zevenbergen	Grande	4:14:54.8	+9:45.7	+3.98%	96.17%	25.19%	23.96%
7	148	Zachary Gudwin	Zachary	Gudwin	Premier Racing	Grande	4:17:07.7	+11:58.6	+4.89%	95.34%	24.54%	23.30%
8	129	Dieter Fox	Dieter	Fox	Fount Cycling Guild	Grande	4:18:42.0	+13:32.9	+5.53%	94.76%	24.08%	22.83%
9	208	Mark Laughery	Mark	Laughery	A Cycling Team	Grande	4:19:26.4	+14:17.3	+5.83%	94.49%	23.86%	22.61%
10	173	Shawn Howard	Shawn	Howard	Inland Empire	Grande	4:20:47.0	+15:37.9	+6.38%	94.01%	23.47%	22.21%
11	303	Tony Pletcher	Tony	Pletcher	Tenspeed Hero West	Grande	4:20:49.4	+15:40.3	+6.39%	93.99%	23.46%	22.19%
12	240	Brian McCleerey	Brian	McCleerey	Apex Racing	Grande	4:21:38.6	+16:29.5	+6.73%	93.70%	23.22%	21.95%
13	437	Kevin Hodges	Kevin	Hodges	Fount Cycling Guild	Grande	4:22:23.8	+17:14.7	+7.03%	93.43%	22.99%	21.73%
14	229	Ryan Malm	Ryan	Malm	Chinook Racing Development	Grande	4:22:28.0	+17:18.9	+7.06%	93.40%	22.97%	21.70%
15	390	Brian Thoreson	Brian	Thoreson	Chinook Racing Development	Grande	4:26:15.6	+21:06.5	+8.61%	92.07%	21.86%	20.57%
16	314	Sterling Quinn	Sterling	Quinn	Pizza Pals	Grande	4:27:50.3	+22:41.2	+9.25%	91.53%	21.40%	20.10%
17	159	Clint Hastings	Clint	Hastings	Inland Empire Racing	Grande	4:27:51.9	+22:42.8	+9.27%	91.52%	21.39%	20.09%
18	217	Andy Leveto	Andy	Leveto	Homegrown Racing	Grande	4:29:19.8	+24:10.7	+9.86%	91.02%	20.96%	19.66%
19	45	Walker Bohannan	Walker	Bohannan	Pizza Pals	Grande	4:30:10.8	+25:01.7	+10.21%	90.74%	20.71%	19.40%
20	391	Leigh Thurgood	Leigh	Thurgood	Tenspeed Hero	Grande	4:30:12.0	+25:02.9	+10.22%	90.73%	20.70%	19.40%
21	347	Theodore Schwartz	Theodore	Schwartz	Premier Racing	Grande	4:30:12.6	+25:03.5	+10.22%	90.73%	20.70%	19.39%
22	174	Johnathan Hsu	Johnathan	Hsu	Fount Cycling Guild	Grande	4:30:13.6	+25:04.5	+10.23%	90.72%	20.70%	19.39%
23	78	Pablo Castrillo	Pablo	Castrillo	Zevenbergen	Grande	4:32:58.7	+27:49.6	+11.35%	89.81%	19.89%	18.57%
24	435	Xiaohan Zhang	Xiaohan	Zhang	A Cycling Team	Grande	4:33:09.3	+28:00.2	+11.42%	89.75%	19.84%	18.52%
25	80	Florence Chardon	Florence	Chardon	Fount Cycling Guild	Grande	4:33:24.1	+28:15.0	+11.52%	89.67%	19.76%	18.44%
26	19	Allan Arzaga	Allan	Arzaga	TeamMang	Grande	4:33:50.3	+28:41.2	+11.70%	89.52%	19.64%	18.31%
27	130	Austin Foxley	Austin	Foxley	Fount Cycling Guild	Grande	4:34:36.6	+29:27.5	+12.02%	89.27%	19.41%	18.08%
28	424	Chris Wilson	Chris	Wilson	Fount Cycling Guild	Grande	4:34:37.3	+29:28.2	+12.02%	89.27%	19.41%	18.08%
29	74	Kc Campbell Garcia	KC	Campbell Garcia	Premier Racing	Grande	4:35:10.0	+30:00.9	+12.24%	89.09%	19.25%	17.92%
30	297	Lance Payne	Lance	Payne	Inland Empire Racing	Grande	4:35:57.7	+30:48.6	+12.57%	88.84%	19.01%	17.68%
31	415	Jennifer Wheeler	Jennifer	Wheeler	Fount Cycling Guild	Grande	4:38:27.5	+33:18.4	+13.59%	88.04%	18.28%	16.93%
32	389	Kevin Thonney	Kevin	Thonney	BICYCLE BARN	Grande	4:38:28.4	+33:19.3	+13.59%	88.03%	18.28%	16.93%
33	324	David Richter	David	Richter	Fount Cycling Guild	Grande	4:38:47.2	+33:38.1	+13.72%	87.94%	18.18%	16.84%
