Place	Bib	Name	First name	Last name	Team name	Category	Gender	Time	Difference	% Back	% Winning	% Average	% Median
1	252	Madison Molitor	Madison	Molitor	Fount	Grande		4:14:09.8	-	-	100%	26.83%	26.25%
2	202	Mark Laughery	Mark	Laughery	ACT	Grande		4:14:10.9	+0:01.1	+0.01%	99.99%	26.83%	26.25%
3	259	Stephen Mull	Stephen	Mull	Canyon	Grande		4:14:11.1	+0:01.3	+0.01%	99.99%	26.83%	26.24%
4	37	Walker Bohannan	Walker	Bohannan	Premier Racing	Grande		4:15:04.6	+0:54.8	+0.36%	99.64%	26.57%	25.99%
5	327	Kenneth Rizer	Kenneth	Rizer		Grande		4:15:23.6	+1:13.8	+0.48%	99.52%	26.48%	25.89%
6	113	Dieter Fox	Dieter	Fox	Fount Cycling Guild	Grande		4:19:10.8	+5:01.0	+1.97%	98.06%	25.39%	24.80%
7	346	Theodore Schwartz	Theodore	Schwartz	Black Sheep	Grande		4:21:46.3	+7:36.5	+2.99%	97.09%	24.64%	24.04%
8	1	Chris Twardzik	Chris	Twardzik	Premier	Grande		4:21:46.8	+7:37.0	+3.00%	97.09%	24.64%	24.04%
9	404	Ian Tubbs	Ian	Tubbs	Mercedes-Benz	Grande		4:26:13.5	+12:03.7	+4.75%	95.47%	23.36%	22.75%
10	315	Sterling Quinn	Sterling	Quinn	ACT	Grande		4:27:25.9	+13:16.1	+5.22%	95.04%	23.01%	22.40%
11	224	Ryan Malm	Ryan	Malm	Chinook Racing Development	Grande		4:28:23.9	+14:14.1	+5.60%	94.70%	22.74%	22.12%
12	321	John Reynders	John	Reynders	ACT	Grande		4:32:50.3	+18:40.5	+7.35%	93.16%	21.46%	20.83%
13	156	Kevin Hodges	Kevin	Hodges	Fount Cycling Guild	Grande		4:33:08.5	+18:58.7	+7.47%	93.05%	21.37%	20.74%
14	143	Steve Hanson	Steve	Hanson	Greenies Bike Shop Richland WA	Grande		4:37:05.6	+22:55.8	+9.02%	91.72%	20.23%	19.60%
15	163	Reed Hunter	Reed	Hunter		Grande		4:37:07.5	+22:57.7	+9.03%	91.71%	20.22%	19.59%
16	152	Landon Henson	Landon	Henson	Fell Swoop/Spin to Win	Grande		4:37:39.2	+23:29.4	+9.24%	91.54%	20.07%	19.43%
17	127	Jeremy Glenn	Jeremy	Glenn	Best Side Cycling	Grande		4:38:10.2	+24:00.4	+9.45%	91.37%	19.92%	19.28%
18	383	Peter Stroble	Peter	Stroble	Mercedes Benz (Sin Frenos Faction)	Grande		4:38:38.7	+24:28.9	+9.63%	91.21%	19.79%	19.15%
19	273	David Ohair	David	Ohair	Fount Cycling Guild	Grande		4:38:46.6	+24:36.8	+9.68%	91.17%	19.75%	19.11%
20	390	David Takahashi	David	Takahashi	ACT	Grande		4:40:22.1	+26:12.3	+10.31%	90.65%	19.29%	18.65%
21	221	Chase Lyne	Chase	Lyne	JV SQUAD	Grande		4:41:20.3	+27:10.5	+10.69%	90.34%	19.01%	18.37%
22	242	Ian Mensher	Ian	Mensher	Keller Rohrback Cycling Team	Grande		4:41:27.6	+27:17.8	+10.74%	90.30%	18.98%	18.33%
23	220	Andrew Lynch	Andrew	Lynch	Gene Johnson Cycling Team	Grande		4:41:30.6	+27:20.8	+10.76%	90.29%	18.96%	18.32%
24	65	Graham Christensen	Graham	Christensen	Vertical Earth	Grande		4:41:32.8	+27:23.0	+10.77%	90.27%	18.95%	18.31%
25	92	Lindsay Duvall	Lindsay	Duvall	the Bike Hub	Grande		4:41:33.6	+27:23.8	+10.78%	90.27%	18.95%	18.30%
26	368	Ryan Smolinsky	Ryan	Smolinsky	Ridge Cyclesports	Grande		4:41:34.4	+27:24.6	+10.78%	90.27%	18.94%	18.30%
27	403	Dwaine Trummert	Dwaine	Trummert	Fell Swoop	Grande		4:41:35.3	+27:25.5	+10.79%	90.26%	18.94%	18.29%
28	398	Kevin Thonney	Kevin	Thonney	Bicycle Barn	Grande		4:43:44.2	+29:34.4	+11.64%	89.58%	18.32%	17.67%
29	417	Evan Walker	Evan	Walker		Grande		4:46:57.8	+32:48.0	+12.91%	88.57%	17.39%	16.73%
30	282	Sam Owens	Sam	Owens	Premier Racing	Grande		4:48:02.2	+33:52.4	+13.33%	88.24%	17.08%	16.42%
31	209	Brandon Lemke	Brandon	Lemke	ACT	Grande		4:48:17.2	+34:07.4	+13.43%	88.16%	17.01%	16.35%
32	10	Ira Armad	Ira	Armad	RCC SEA	Grande		4:48:53.2	+34:43.4	+13.66%	87.98%	16.84%	16.18%
33	335	Adam Saegebarth	Adam	Saegebarth	RCCSEA	Grande		4:48:54.1	+34:44.3	+13.67%	87.98%	16.83%	16.17%
34	49	Maarten Brugmans	Maarten	Brugmans	Mercedes-Benz	Grande		4:50:25.2	+36:15.4	+14.27%	87.52%	16.40%	15.73%
35	320	Russ Reser	Russ	Reser	Inland Empire Racing	Grande		4:50:25.8	+36:16.0	+14.27%	87.51%	16.39%	15.73%
36	137	Pete Groblewski	Pete	Groblewski	Keller Rohrback	Grande		4:51:15.9	+37:06.1	+14.60%	87.26%	16.15%	15.49%
37	5	Matt Albee	Matt	Albee	Eleven Winery	Grande		4:51:19.5	+37:09.7	+14.62%	87.24%	16.14%	15.47%
38	434	Russell Wyatt	Russell	Wyatt	ACT	Grande		4:52:04.7	+37:54.9	+14.92%	87.02%	15.92%	15.25%
39	216	Brendan Long	Brendan	Long	Apex Racing	Grande		4:53:24.9	+39:15.1	+15.44%	86.62%	15.53%	14.86%
40	227	David Masuda	David	Masuda	Perthes Awareness Cycling Team	Grande		4:53:48.4	+39:38.6	+15.60%	86.51%	15.42%	14.75%
41	234	Josh Mcdowell	Josh	Mcdowell	Fell Swoop	Grande		4:53:50.4	+39:40.6	+15.61%	86.50%	15.41%	14.74%
42	364	Dalton Smice	Dalton	Smice	Apex Racing	Grande		4:55:02.5	+40:52.7	+16.08%	86.14%	15.07%	14.39%
43	446	Ryan O’Hara				Grande	Male	4:55:33.6	+41:23.8	+16.29%	85.99%	14.92%	14.24%
44	426	Jason Williams	Jason	Williams		Grande		4:57:20.9	+43:11.1	+16.99%	85.48%	14.40%	13.72%
45	206	Joseph Lee	Joseph	Lee		Grande		4:57:32.5	+43:22.7	+17.07%	85.42%	14.35%	13.66%
46	382	Rob Stirling	Rob	Stirling	SC FRESH	Grande		4:58:22.5	+44:12.7	+17.39%	85.18%	14.11%	13.42%
47	89	Tom Dotson	Tom	Dotson		Grande		4:59:17.5	+45:07.7	+17.76%	84.92%	13.84%	13.16%
48	422	Alan Wiley	Alan	Wiley	Fell Swoop	Grande		4:59:23.8	+45:14.0	+17.80%	84.89%	13.81%	13.13%
49	54	Alec Burks	Alec	Burks	High Vibrations	Grande		4:59:55.6	+45:45.8	+18.01%	84.74%	13.66%	12.97%
50	213	Mark Littrell	Mark	Littrell	Mercedes-Benz	Grande		5:00:15.7	+46:05.9	+18.14%	84.65%	13.56%	12.87%
51	128	Kirill Glushko	Kirill	Glushko	Breakfast Racing Team	Grande		5:01:21.8	+47:12.0	+18.57%	84.34%	13.25%	12.55%
52	60	Jonathan Castrodale	Jonathan	Castrodale	HedonSpeed	Grande		5:01:22.8	+47:13.0	+18.58%	84.33%	13.24%	12.55%
53	215	Aaron Locke	Aaron	Locke	Cascadia Wheel Co.	Grande		5:01:41.9	+47:32.1	+18.70%	84.24%	13.15%	12.46%
54	408	Rachel Urban	Rachel	Urban	Gene Johnson Cycling Team	Grande		5:02:16.7	+48:06.9	+18.93%	84.08%	12.98%	12.29%
