Place	Bib	Name	First name	Last name	Team name	Category	Time	Difference	% Back	% Winning	% Average	% Median
1	155	Ian Spivack	Ian	Spivack	Greenies Bike Shop Richland, WA	Grande	6:05:54.7	-	-	100%	25.85%	25.17%
2	108	Madison Molitor	Madisin	Molitor	Fount	Grande	6:08:22.7	+2:28.0	+0.67%	99.33%	25.35%	24.67%
3	154	Ryan Smolinsky	Ryan	Smolinsky	Ridge Cyclesports	Grande	6:12:02.2	+6:07.5	+1.67%	98.35%	24.60%	23.92%
4	72	Corbin Huhudacek	Corbin	Huhudacek		Grande	6:16:32.8	+10:38.1	+2.91%	97.18%	23.69%	23.00%
5	44	Juan Camilo Echeverri	Juan Camilo	Echeverri	OMG Cycling Kitsap	Grande	6:43:19.9	+37:25.2	+10.23%	90.72%	18.26%	17.52%
6	93	Ryan Malm	Ryan	Malm	Chinook Racing Development	Grande	6:45:00.0	+39:05.3	+10.68%	90.35%	17.92%	17.18%
7	48	Dalton Fayad	Dalton	Fayad	Okanagan Bike and Ski	Grande	6:45:03.1	+39:08.4	+10.70%	90.34%	17.91%	17.17%
8	97	Patrick McAuliffe	Patrick	McAuliffe		Grande	6:45:42.7	+39:48.0	+10.88%	90.19%	17.78%	17.04%
9	52	Dieter Fox	Dieter	Fox	Fount Cycling Guild	Grande	6:48:38.8	+42:44.1	+11.68%	89.54%	17.19%	16.44%
10	126	Jacob Paul	Jacob	Paul	Okanagan Bike and Ski	Grande	6:48:39.8	+42:45.1	+11.68%	89.54%	17.18%	16.43%
11	55	Nick Friesen	Nick	Friesen		Grande	6:52:58.3	+47:03.6	+12.86%	88.60%	16.31%	15.55%
12	53	Austin Foxley	Austin	Foxley	Fount Cycling Guild	Grande	6:58:49.3	+52:54.6	+14.46%	87.37%	15.12%	14.36%
13	140	Adam Saegebarth	Adam	Saegebarth	RCC	Grande	7:04:21.4	+58:26.7	+15.97%	86.23%	14.00%	13.22%
14	67	Kevin Hodges	Kevin	Hodges	Fount Cycling Guild	Grande	7:07:25.2	+1:01:30.5	+16.81%	85.61%	13.38%	12.60%
15	15	Chris Brooks	Chris	Brooks		Grande	7:07:25.6	+1:01:30.9	+16.81%	85.61%	13.38%	12.60%
16	104	Justin Merle	Justin	Merle	Adequate	Grande	7:08:23.9	+1:02:29.2	+17.08%	85.41%	13.18%	12.40%
17	149	Graham Sheley	Graham	Sheley	Methow Valley	Grande	7:10:50.5	+1:04:55.8	+17.74%	84.93%	12.69%	11.90%
18	182	Jason Williams	Jason	Williams		Grande	7:11:41.3	+1:05:46.6	+17.98%	84.76%	12.52%	11.72%
19	73	Josh Hudgens	Josh	Hudgens		Grande	7:27:59.5	+1:22:04.8	+22.43%	81.68%	9.21%	8.39%
20	79	Eric Jensen	Eric	Jensen	Chinook Cycling Club	Grande	7:31:59.4	+1:26:04.7	+23.52%	80.96%	8.40%	7.57%
21	127	Brenna Pauly	Brenna	Pauly	Red Truck Racing p/b Mosaic Homes	Grande	7:33:59.7	+1:28:05.0	+24.07%	80.60%	8.00%	7.16%
22	136	Jason Reid	Jason	Reid		Grande	7:36:04.1	+1:30:09.4	+24.64%	80.23%	7.58%	6.74%
23	187	Christian Zauner	Christian	Zauner	OMG!	Grande	7:38:57.0	+1:33:02.3	+25.43%	79.73%	6.99%	6.15%
24	158	Mandy Stirling	Mandy	Stirling		Grande	7:41:19.1	+1:35:24.4	+26.07%	79.32%	6.51%	5.66%
25	27	Tom Clements	Tom	Clements		Grande	7:42:11.6	+1:36:16.9	+26.31%	79.17%	6.33%	5.49%
26	99	Patrick McLean	Patrick	McLean	SET Coaching	Grande	7:42:39.5	+1:36:44.8	+26.44%	79.09%	6.24%	5.39%
27	115	Samuel Naney	Samuel	Naney	Cascade Endurance	Grande	7:43:10.1	+1:37:15.4	+26.58%	79.00%	6.14%	5.29%
28	129	Victor Peterson	Victor	Peterson	Hagens Berman Racing	Grande	7:43:14.7	+1:37:20.0	+26.60%	78.99%	6.12%	5.27%
29	90	John Kugler	John	Kugler	Alki Velo club	Grande	7:45:19.2	+1:39:24.5	+27.17%	78.64%	5.70%	4.85%
30	85	David Karman	David	Karman		Grande	7:46:49.6	+1:40:54.9	+27.58%	78.38%	5.40%	4.54%
31	122	Dan O’Neal	Dan	O�Neal	OMG	Grande	7:46:50.1	+1:40:55.4	+27.58%	78.38%	5.39%	4.54%
32	2	Osama Aljawad	Osama	Aljawad	Alki Velo club	Grande	7:48:47.6	+1:42:52.9	+28.12%	78.05%	5.00%	4.14%
