Place	Bib	Name	First name	Last name	Team name	Category	Time	Difference	% Back	% Winning	% Average	% Median
1	230	Chris Uberti	Chris	Uberti	Cleveland Cycling Academy	Grande	4:22:07.9	-	-	100%	24.39%	24.84%
2	97	Steve Hanson	Steve	Hanson	Greenies Bike Shop Richland WA	Grande	4:24:14.9	+2:07.0	+0.81%	99.20%	23.77%	24.23%
3	212	Ian Spivack	Ian	Spivack	Greenies Bike Shop Richland, WA	Grande	4:24:26.3	+2:18.4	+0.88%	99.13%	23.72%	24.18%
4	202	Ben Schauland	Ben	Schauland	Apex Racing	Grande	4:32:53.1	+10:45.2	+4.10%	96.06%	21.28%	21.76%
5	82	Cole Erickson	Cole	Erickson	Wally World Cycling	Grande	4:36:35.4	+14:27.5	+5.52%	94.77%	20.21%	20.70%
6	145	David Masuda	David	Masuda	Inland Empire Racing	Grande	4:37:03.4	+14:55.5	+5.69%	94.61%	20.08%	20.56%
7	140	Ryan Malm	Ryan	Malm	Chinook Racing Development	Grande	4:37:03.5	+14:55.6	+5.69%	94.61%	20.08%	20.56%
8	134	Brendan Long	Brendan	Long	Apex Racing	Grande	4:37:03.9	+14:56.0	+5.70%	94.61%	20.08%	20.56%
9	226	Joshua Thompson	Joshua	Thompson	Trek CDA Racing	Grande	4:37:05.3	+14:57.4	+5.71%	94.60%	20.07%	20.55%
10	83	Jesse Favia	Jesse	Favia		Grande	4:43:17.6	+21:09.7	+8.07%	92.53%	18.28%	18.77%
11	233	Robert Velez	Robert	Velez	Coalition	Grande	4:46:31.8	+24:23.9	+9.31%	91.48%	17.35%	17.85%
12	46	Phillip Buffington	Phillip	Buffington	green bicycle team	Grande	4:48:25.5	+26:17.6	+10.03%	90.88%	16.80%	17.30%
13	57	Doug Carlton	Doug	Carlton	Keller Rohrback	Grande	4:48:25.7	+26:17.8	+10.03%	90.88%	16.80%	17.30%
14	66	Kenneth Collins	Kenneth	Collins	Inland Empire Racing	Grande	4:50:54.2	+28:46.3	+10.98%	90.11%	16.09%	16.59%
